paper_id,title,authors,venue,year,pdf_path,topics
2604.15309v1,MM-WebAgent: A Hierarchical Multimodal Web Agent for Webpage Generation,Yan Li; Zezi Zeng; Yifan Yang; Yuqing Yang; Ning Liao,arXiv,2026,data/pdfs/2604.15309v1.pdf,cs.AI
2604.15306v1,Generalization in LLM Problem Solving: The Case of the Shortest Path,Yao Tong; Jiayuan Ye; Anastasia Borovykh; Reza Shokri,arXiv,2026,data/pdfs/2604.15306v1.pdf,cs.AI
2604.15302v1,Diagnosing LLM Judge Reliability: Conformal Prediction Sets and Transitivity Violations,Manan Gupta; Dhruv Kumar,arXiv,2026,data/pdfs/2604.15302v1.pdf,cs.AI
2604.15294v1,How Do LLMs and VLMs Understand Viewpoint Rotation Without Vision? An Interpretability Study,Zhen Yang; Ping Jian; Zhongbin Guo; Zuming Zhang; Chengzhi Li,arXiv,2026,data/pdfs/2604.15294v1.pdf,cs.AI
2604.15291v1,AD4AD: Benchmarking Visual Anomaly Detection Models for Safer Autonomous Driving,Fabrizio Genilotti; Arianna Stropeni; Gionata Grotto; Francesco Borsatti; Manuel Barusco,arXiv,2026,data/pdfs/2604.15291v1.pdf,cs.AI
2604.15280v1,Why Do Vision Language Models Struggle To Recognize Human Emotions?,Madhav Agarwal; Sotirios A. Tsaftaris; Laura Sevilla-Lara; Steven McDonagh,arXiv,2026,data/pdfs/2604.15280v1.pdf,cs.AI
2604.15272v1,Prism: Symbolic Superoptimization of Tensor Programs,Mengdi Wu; Xiaoyu Jiang; Oded Padon; Zhihao Jia,arXiv,2026,data/pdfs/2604.15272v1.pdf,cs.AI
2604.15271v1,SegWithU: Uncertainty as Perturbation Energy for Single-Forward-Pass Risk-Aware Medical Image Segmentation,Tianhao Fu; Austin Wang; Charles Chen; Roby Aldave-Garza; Yucheng Chen,arXiv,2026,data/pdfs/2604.15271v1.pdf,cs.AI
2604.15267v1,CoopEval: Benchmarking Cooperation-Sustaining Mechanisms and LLM Agents in Social Dilemmas,Emanuel Tewolde; Xiao Zhang; David Guzman Piedrahita; Vincent Conitzer; Zhijing Jin,arXiv,2026,data/pdfs/2604.15267v1.pdf,cs.AI
2604.15259v1,Stability and Generalization in Looped Transformers,Asher Labovich,arXiv,2026,data/pdfs/2604.15259v1.pdf,cs.AI
2604.15236v1,Agentic Microphysics: A Manifesto for Generative AI Safety,Federico Pierucci; Matteo Prandi; Marcantonio Bracale Syrnikov; Marcello Galisai; Piercosma Bisconti,arXiv,2026,data/pdfs/2604.15236v1.pdf,cs.AI
2604.15233v1,Blue Data Intelligence Layer: Streaming Data and Agents for Multi-source Multi-modal Data-Centric Applications,Moin Aminnaseri; Farima Fatahi Bayat; Nikita Bhutani; Jean-Flavien Bussotti; Kevin Chan,arXiv,2026,data/pdfs/2604.15233v1.pdf,cs.AI
2604.15231v1,RadAgent: A tool-using AI agent for stepwise interpretation of chest computed tomography,Mélanie Roschewitz; Kenneth Styppa; Yitian Tao; Jiwoong Sohn; Jean-Benoit Delbrouck,arXiv,2026,data/pdfs/2604.15231v1.pdf,cs.AI
2604.15224v1,Context Over Content: Exposing Evaluation Faking in Automated Judges,Manan Gupta; Inderjeet Nair; Lu Wang; Dhruv Kumar,arXiv,2026,data/pdfs/2604.15224v1.pdf,cs.AI
